candidate_id,candidate_family,source_stage,target_bin_deg,anchor_candidate,source_reference,design_rationale,risk_level,expected_phase_direction,p1_length_nm,p1_width_nm,p2_length_nm,p2_width_nm,p1_frac_x,p1_frac_y,p2_frac_x,p2_frac_y,internal_dx_nm,internal_dy_nm,p1_rotation_deg,p2_rotation_deg,period_x_nm,period_y_nm,height_nm,material,substrate,requires_geometry_validation,requires_fdtd,status,notes
pl_neg60_focus_push_01,neg60_phase_lowering_from_focus_anchor,09-P27/P28,-60,focus_neg60_geom_04,focus_neg60_geom_04,Increase negative dy from focus anchor while keeping low-leakage widths.,moderate_to_high_risk,toward -60 via stronger negative dy coupling,118,56,80,148,0.75,0.75,0.25,0.25,-38,-36,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_neg60_focus_push_02,neg60_phase_lowering_from_focus_anchor,09-P27/P28,-60,focus_neg60_geom_04,focus_neg60_geom_04,More lhs-like p1 and p2 width emphasis to lower phase from 83 deg.,high_risk,toward -60 via stronger asymmetry,116,56,78,150,0.75,0.75,0.25,0.25,-40,-36,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_neg60_focus_push_03,neg60_phase_lowering_from_focus_anchor,09-P27/P28,-60,focus_neg60_geom_04,focus_neg60_geom_04,Maintain focus widths but increase dx/dy phase push.,moderate_risk,toward -60 while preserving leakage,120,58,82,146,0.75,0.75,0.25,0.25,-40,-34,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_neg60_focus_push_04,neg60_phase_lowering_from_focus_anchor,09-P27/P28,-60,focus_neg60_geom_04,focus_neg60_geom_04,Test if wider p1 controls leakage during negative dy push.,moderate_risk,toward -60 with p1 widening leakage control,118,60,80,150,0.75,0.75,0.25,0.25,-36,-38,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_neg60_focus_push_05,neg60_phase_lowering_from_focus_anchor,09-P27/P28,-60,focus_neg60_geom_04|fine_p1w_dx_08,focus_neg60_geom_04|fine_p1w_dx_08,Balanced dx/dy phase-lowering from focus anchor with low-leakage width control.,moderate_risk,selected top phase-lowering -60 probe,120,58,84,146,0.75,0.75,0.25,0.25,-38,-34,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_neg60_focus_push_06,neg60_phase_lowering_from_focus_anchor,09-P27/P28,-60,focus_neg60_geom_04|gap_lhs_leakred_06,focus_neg60_geom_04|gap_lhs_leakred_06,Lower-risk focus bridge; may not move phase enough.,low_to_moderate_risk,conservative -60 phase lowering,122,60,82,144,0.75,0.75,0.25,0.25,-34,-32,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_neg60_focus_push_07,neg60_phase_lowering_from_focus_anchor,09-P27/P28,-60,focus_neg60_geom_04|next_zero_rot_anchor_03,focus_neg60_geom_04|next_zero_rot_anchor_03,"Limited rotation change with geometry push, not pure global offset.",moderate_to_high_risk,toward 0/-60 using limited rotation plus geometry,116,58,78,146,0.75,0.75,0.25,0.25,-40,-30,45.0,90.0,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_zero_bridge_01,zero_bridge_from_focus_anchor,09-P27/P28,0,focus_neg60_geom_04|next_zero_rot_anchor_03,focus_neg60_geom_04|next_zero_rot_anchor_03,Bridge focus low-leakage geometry toward 0 evidence with reduced dy.,moderate_risk,toward 0 from 83 deg,116,58,78,142,0.75,0.75,0.25,0.25,-38,26,45.0,90.0,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_zero_bridge_02,zero_bridge_from_focus_anchor,09-P27/P28,0,focus_neg60_geom_04|focus_zero_leakred_07,focus_neg60_geom_04|focus_zero_leakred_07,Retain focus quality while moving toward zero evidence geometry.,moderate_risk,toward 0 with leakage control,116,60,78,140,0.75,0.75,0.25,0.25,-36,24,45.0,90.0,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_zero_bridge_03,zero_bridge_from_focus_anchor,09-P27/P28,0,focus_neg60_geom_04|aggr_p1w_leakctrl_04,focus_neg60_geom_04|aggr_p1w_leakctrl_04,Use p1w leakage-control anchor in a lower-dy zero bridge.,moderate_risk,toward 0 with p1w control,120,58,80,140,0.75,0.75,0.25,0.25,-34,22,45.0,90.0,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_zero_bridge_04,zero_bridge_from_focus_anchor,09-P27/P28,0,focus_neg60_geom_04|next_zero_rot_anchor_03,focus_neg60_geom_04|next_zero_rot_anchor_03,Balanced 0 deg bridge from focus anchor toward zero evidence with moderated leakage risk.,moderate_risk,selected 0 deg bridge,118,58,80,142,0.75,0.75,0.25,0.25,-36,24,45.0,90.0,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_zero_bridge_05,zero_bridge_from_focus_anchor,09-P27/P28,0,focus_neg60_geom_04|fine_p1w_dx_03,focus_neg60_geom_04|fine_p1w_dx_03,Move toward low-leakage fine anchor; may not reach 0 deg.,low_to_moderate_risk,conservative 0 deg bridge,124,56,82,144,0.75,0.75,0.25,0.25,-34,18,45.0,90.0,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_zero_bridge_06,zero_bridge_from_focus_anchor,09-P27/P28,0,focus_neg60_geom_04|aggr_lhs_retention_dy_05,focus_neg60_geom_04|aggr_lhs_retention_dy_05,More aggressive bridge toward lhs retention evidence.,moderate_to_high_risk,toward 0 preserving phase evidence,114,58,76,138,0.75,0.75,0.25,0.25,-38,28,45.0,90.0,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_zero_bridge_07,zero_bridge_from_focus_anchor,09-P27/P28,0,focus_neg60_geom_04|gap_lhs_leakred_06,focus_neg60_geom_04|gap_lhs_leakred_06,Conservative geometry bridge for leakage-controlled 0 deg attempt.,low_to_moderate_risk,toward 0 with leakage reduction,122,60,82,144,0.75,0.75,0.25,0.25,-32,20,45.0,90.0,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
pl_pi_wrap_01,pi_wrap_from_focus_anchor,09-P27/P28,-180,focus_neg60_geom_04,focus_neg60_geom_04,Strong same-sign displacement and aspect contrast from focus anchor.,high_risk,toward -180 via pi wrap,112,66,102,136,0.75,0.75,0.25,0.25,38,36,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Phase-lowering scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
