rank,candidate_id,family,target_bins_deg,height_nm,period_x_nm,period_y_nm,core_shape,pillar1_length_nm,pillar1_width_nm,pillar1_rotation_deg,pillar2_length_nm,pillar2_width_nm,pillar2_rotation_deg,helper_shape,helper_length_nm,helper_width_nm,helper_rotation_deg,selection_status,rationale
1,cpk_capsule_res_h425_01,capsule_height_continuation,0/60,425,340,340,capsule,130,70,67.5,85,150,112.5,,,,,selected,First height step from the high-selectivity capsule h420 anchor while staying below the h440 avoid boundary.
2,cpk_capsule_res_h430_01,capsule_height_continuation,0/60,430,340,340,capsule,130,70,67.5,85,150,112.5,,,,,selected,Second height step checks whether capsule resonance can move away from -162 without losing selectivity.
3,cpk_capsule_res_h435_01,capsule_height_continuation,0/60,435,340,340,capsule,130,70,67.5,85,150,112.5,,,,,selected,Safe height-boundary check below 440 nm; do not continue higher unless justified by this result.
4,cpk_capsule_res_aniso_reduce5_01,capsule_anisotropy_trim,0/60,420,340,340,capsule,125,75,67.5,90,145,112.5,,,,,selected,Reduce capsule anisotropy by 5 nm on the long axis and restore 5 nm on the short axis to shift resonance without rotating APCD cores.
5,cpk_capsule_res_aniso_reduce10_01,capsule_anisotropy_trim,0/60,420,340,340,capsule,120,80,67.5,95,140,112.5,,,,,selected,Stronger anisotropy-release boundary test from the same h420 anchor while preserving target alpha-pass logic.
6,cpk_capsule_res_scale98_01,capsule_common_scale,0/60,420,340,340,capsule,127.4,68.6,67.5,83.3,147,112.5,,,,,selected,Small common size trim tests resonance phase response without changing APCD relative geometry.
7,cpk_capsule_res_scale102_01,capsule_common_scale,0/60,420,340,340,capsule,132.6,71.4,67.5,86.7,153,112.5,,,,,backup,Backup larger common scale point; deferred to avoid over-running the first capsule validation batch.
8,cpk_capsule_res_h425_scale98_01,capsule_common_scale,0/60,425,340,340,capsule,127.4,68.6,67.5,83.3,147,112.5,,,,,backup,Backup combined h425 plus scale98 if height-only trend is useful but not enough.
9,cpk_capsule_res_h425_scalar35_01,capsule_scalar_bias,0/60,425,340,340,capsule,130,70,67.5,85,150,112.5,ellipse,35,35,0,backup,Single weak scalar resonator only as an optional phase bias; not selected before core-only capsule behavior is diagnosed.
10,cpk_capsule_res_h430_aniso_reduce5_01,capsule_anisotropy_trim,0/60,430,340,340,capsule,125,75,67.5,90,145,112.5,,,,,backup,Backup combined h430 and reduce5 point after the first six establish whether this branch has a useful direction.
