candidate_id,family,target_bin_deg,anchor_candidate,helper_role,helper_type,p3_shape,p3_length_nm,p3_width_nm,p3_rotation_deg,p3_frac_x,p3_frac_y,p3_x_nm,p3_y_nm,expected_phase_direction,design_rationale,risk_level,p1_length_nm,p1_width_nm,p1_rotation_deg,p1_frac_x,p1_frac_y,p2_length_nm,p2_width_nm,p2_rotation_deg,p2_frac_x,p2_frac_y,internal_dx_nm,internal_dy_nm,period_x_nm,period_y_nm,height_nm,material,substrate,requires_fdtd,status,notes
hr_aniso_push_01,aniso_helper_phase_push,-180,h2_weak_aniso_03,weak_auxiliary_phase_helper,weak rectangular nanofin helper,weak rectangular nanofin helper,60,120,90,0.25,0.75,-85.0,85.0,extend high-positive usable phase toward pi,APCD alpha-pass core remains fixed; standalone dielectric helper probes controlled phase pulling toward high-positive/pi-near phase.,medium_risk,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,0,0,340,340,300,c-Si,Al2O3,true,not_evaluated,"helper refinement planning; standalone helper, not another APCD dimer; fabrication-friendly rectangular/square pillar only"
hr_aniso_push_02,aniso_helper_phase_push,-180,h2_weak_aniso_03,weak_auxiliary_phase_helper,weak rectangular nanofin helper,weak rectangular nanofin helper,60,120,135,0.25,0.75,-85.0,85.0,rotate anisotropic helper toward stronger phase delay,APCD alpha-pass core remains fixed; standalone dielectric helper probes controlled phase pulling toward high-positive/pi-near phase.,medium_risk,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,0,0,340,340,300,c-Si,Al2O3,true,not_evaluated,"helper refinement planning; standalone helper, not another APCD dimer; fabrication-friendly rectangular/square pillar only"
hr_aniso_push_03,aniso_helper_phase_push,-180,h2_weak_aniso_03,weak_auxiliary_phase_helper,weak rectangular nanofin helper,weak rectangular nanofin helper,70,110,45,0.25,0.75,-85.0,85.0,slightly wider anisotropic helper around successful anchor,APCD alpha-pass core remains fixed; standalone dielectric helper probes controlled phase pulling toward high-positive/pi-near phase.,medium_risk,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,0,0,340,340,300,c-Si,Al2O3,true,not_evaluated,"helper refinement planning; standalone helper, not another APCD dimer; fabrication-friendly rectangular/square pillar only"
hr_aniso_push_04,aniso_helper_phase_push,-180,h2_weak_aniso_03,weak_auxiliary_phase_helper,weak rectangular nanofin helper,weak rectangular nanofin helper,70,120,90,0.25,0.75,-85.0,85.0,larger phase-push nanofin with geometry-safe gap,APCD alpha-pass core remains fixed; standalone dielectric helper probes controlled phase pulling toward high-positive/pi-near phase.,medium_high_risk,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,0,0,340,340,300,c-Si,Al2O3,true,not_evaluated,"helper refinement planning; standalone helper, not another APCD dimer; fabrication-friendly rectangular/square pillar only"
hr_aniso_push_05,aniso_helper_phase_push,-180,h2_weak_aniso_03,weak_auxiliary_phase_helper,weak rectangular nanofin helper,weak rectangular nanofin helper,70,120,135,0.25,0.75,-85.0,85.0,selected anisotropic high-positive phase push,APCD alpha-pass core remains fixed; standalone dielectric helper probes controlled phase pulling toward high-positive/pi-near phase.,medium_high_risk,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,0,0,340,340,300,c-Si,Al2O3,true,not_evaluated,"helper refinement planning; standalone helper, not another APCD dimer; fabrication-friendly rectangular/square pillar only"
hr_aniso_push_06,aniso_helper_phase_push,-180,h2_weak_aniso_03,weak_auxiliary_phase_helper,weak rectangular nanofin helper,weak rectangular nanofin helper,80,120,90,0.25,0.75,-85.0,85.0,"stronger anisotropic helper, still fabrication-friendly",APCD alpha-pass core remains fixed; standalone dielectric helper probes controlled phase pulling toward high-positive/pi-near phase.,medium_high_risk,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,0,0,340,340,300,c-Si,Al2O3,true,not_evaluated,"helper refinement planning; standalone helper, not another APCD dimer; fabrication-friendly rectangular/square pillar only"
hr_aniso_push_07,aniso_helper_phase_push,-180,h2_weak_aniso_03,weak_auxiliary_phase_helper,weak rectangular nanofin helper,weak rectangular nanofin helper,80,120,135,0.25,0.75,-85.0,85.0,stronger rotated anisotropic phase push,APCD alpha-pass core remains fixed; standalone dielectric helper probes controlled phase pulling toward high-positive/pi-near phase.,high_risk,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,0,0,340,340,300,c-Si,Al2O3,true,not_evaluated,"helper refinement planning; standalone helper, not another APCD dimer; fabrication-friendly rectangular/square pillar only"
hr_aniso_push_08,aniso_helper_phase_push,-180,h2_weak_aniso_03,weak_auxiliary_phase_helper,weak rectangular nanofin helper,weak rectangular nanofin helper,80,110,135,0.25,0.75,-85.0,85.0,selected high-positive phase push with safer width,APCD alpha-pass core remains fixed; standalone dielectric helper probes controlled phase pulling toward high-positive/pi-near phase.,medium_high_risk,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,0,0,340,340,300,c-Si,Al2O3,true,not_evaluated,"helper refinement planning; standalone helper, not another APCD dimer; fabrication-friendly rectangular/square pillar only"
hr_phase_delay_01,phase_delay_gap_fixed,-180,h2_phase_delay_04,weak_auxiliary_phase_helper,moderate rectangular phase-delay nanofin helper,moderate rectangular phase-delay nanofin helper,80,110,90,0.25,0.75,-85.0,85.0,gap-fixed phase-delay retry using reduced size,APCD alpha-pass core remains fixed; standalone dielectric helper probes controlled phase pulling toward high-positive/pi-near phase.,medium_high_risk,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,0,0,340,340,300,c-Si,Al2O3,true,not_evaluated,"helper refinement planning; standalone helper, not another APCD dimer; fabrication-friendly rectangular/square pillar only"
hr_phase_delay_02,phase_delay_gap_fixed,-180,h2_phase_delay_04,weak_auxiliary_phase_helper,moderate rectangular phase-delay nanofin helper,moderate rectangular phase-delay nanofin helper,60,110,120,0.25,0.75,-85.0,85.0,gap-fixed phase-delay retry with narrow helper,APCD alpha-pass core remains fixed; standalone dielectric helper probes controlled phase pulling toward high-positive/pi-near phase.,medium_high_risk,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,0,0,340,340,300,c-Si,Al2O3,true,not_evaluated,"helper refinement planning; standalone helper, not another APCD dimer; fabrication-friendly rectangular/square pillar only"
hr_phase_delay_03,phase_delay_gap_fixed,-180,h2_phase_delay_04,weak_auxiliary_phase_helper,moderate rectangular phase-delay nanofin helper,moderate rectangular phase-delay nanofin helper,75,115,120,0.25,0.75,-85.0,85.0,selected geometry-safe phase-delay retry,APCD alpha-pass core remains fixed; standalone dielectric helper probes controlled phase pulling toward high-positive/pi-near phase.,medium_high_risk,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,0,0,340,340,300,c-Si,Al2O3,true,not_evaluated,"helper refinement planning; standalone helper, not another APCD dimer; fabrication-friendly rectangular/square pillar only"
