rank,candidate_id,family,target_bins_deg,height_nm,period_x_nm,period_y_nm,pillar1_length_nm,pillar1_width_nm,pillar1_rotation_deg,pillar2_length_nm,pillar2_width_nm,pillar2_rotation_deg,helper_length_nm,helper_width_nm,helper_rotation_deg,source_anchor,selection_status,rationale
1,cpk_resphase_h380_nohelper_01,resphase_fixed_core_height,60/0/-60,380,340,340,130,70,67.5,85,150,112.5,,,,fixed_apcd_core,selected,No-helper height point in the middle of the resonance/propagation phase range; preserves APCD rotations and avoids helper-driven leakage.
2,cpk_resphase_h340_nohelper_01,resphase_fixed_core_height,60/0/-60,340,340,340,130,70,67.5,85,150,112.5,,,,fixed_apcd_core,not_selected,Baseline no-helper height point; keep as backup if h380 is too far from missing bins.
3,cpk_resphase_h420_nohelper_01,resphase_fixed_core_height,60/0/-60,420,340,340,130,70,67.5,85,150,112.5,,,,fixed_apcd_core,not_selected,High no-helper height point to test whether propagation phase can move without helper leakage; backup only for this first batch.
4,cpk_resphase_scale104_nohelper_01,resphase_fixed_core_size,60/0/-60,340,340,340,135.2,72.8,67.5,88.4,156,112.5,,,,fixed_apcd_core,selected,Common size scale 1.04 with fixed APCD rotations and no helper; tests resonance phase while keeping min gap comfortably above 50 nm.
5,cpk_resphase_scale096_nohelper_01,resphase_fixed_core_size,60/0/-60,340,340,340,124.8,67.2,67.5,81.6,144,112.5,,,,fixed_apcd_core,not_selected,Common size scale 0.96 backup for opposite resonance phase direction.
6,cpk_resphase_scale108_nohelper_01,resphase_fixed_core_size,60/0/-60,340,340,340,140.4,75.6,67.5,91.8,162,112.5,,,,fixed_apcd_core,not_selected,Upper size-scale backup; kept out of top4 to limit first-batch risk.
7,cpk_resphase_anchor_wh03_h410_trim_m5_01,resphase_anchor_trim,60/0/-60,410,340,340,125,65,67.5,80,145,112.5,65,110,120,cpk_refine_weak_helper_03,selected,Trim the high-quality weak-helper anchor with height -10 nm and common core trim -5 nm to seek continuous phase shift while preserving selectivity.
8,cpk_resphase_anchor_htrans04_h400_trim_m10_01,resphase_anchor_trim,60/0/-60,400,340,340,120,60,67.5,75,140,112.5,70,120,135,cpk_refine_htrans_04,not_selected,More aggressive trim of the strongest -120 selectivity anchor; backup if first anchor trim remains crowded near -120.
9,cpk_resphase_anchor_mbin02_h350_trim_m5_01,resphase_anchor_trim,60/0/-60,350,340,340,125,65,67.5,80,145,112.5,70,120,135,cpk_mbin_transition_02,not_selected,Trim the -180 early-pass anchor as a controlled resonance comparison, not a lower-transition repeat.
10,cpk_resphase_60lock_counter_m40_h320_helper35x85_01,resphase_60_phase_lock_recovery,60/0,320,340,340,130,70,30,85,150,70,35,85,135,cpk_60rec_counter_m40_relax_01,selected,Comparison candidate: keeps the known 60deg phase-lock core but reduces helper strength and changes height to recover leakage/selectivity.
11,cpk_resphase_60lock_m42p5_h320_helper40x85_01,resphase_60_phase_lock_recovery,60/0,320,340,340,130,70,25,85,150,70,40,85,135,cpk_60rec_helper_strength_m42p5_50x100_01,not_selected,Backup 60deg phase-lock recovery point from the m42.5 failed phase-hit route; not run in this first top4.
