rank,candidate_id,family,target_bins_deg,height_nm,period_x_nm,period_y_nm,pillar1_length_nm,pillar1_width_nm,pillar1_rotation_deg,pillar2_length_nm,pillar2_width_nm,pillar2_rotation_deg,helper_length_nm,helper_width_nm,helper_rotation_deg,source_anchor,selection_status,rationale
1,cpk_rescont_h420_anchor_wh03_01,anchor_height_continuation,60/0/-60,420,340,340,125,65,67.5,80,145,112.5,65,110,120,cpk_resphase_anchor_wh03_h410_trim_m5_01,selected,Raise the high-selectivity anchor by +10 nm to test whether propagation phase moves away from the -180 basin while preserving the same APCD core and helper.
2,cpk_rescont_h400_anchor_wh03_01,anchor_height_continuation,60/0/-60,400,340,340,125,65,67.5,80,145,112.5,65,110,120,cpk_resphase_anchor_wh03_h410_trim_m5_01,not_selected,Lower-height backup around the same anchor if h420 does not produce useful phase motion.
3,cpk_rescont_h390_anchor_wh03_01,anchor_height_continuation,60/0/-60,390,340,340,125,65,67.5,80,145,112.5,65,110,120,cpk_resphase_anchor_wh03_h410_trim_m5_01,not_selected,More negative height backoff; held for later because P96 h380 no-helper still reinforced -180.
4,cpk_rescont_h430_anchor_wh03_01,anchor_height_continuation,60/0/-60,430,340,340,125,65,67.5,80,145,112.5,65,110,120,cpk_resphase_anchor_wh03_h410_trim_m5_01,not_selected,Stronger height push backup; not selected to keep first continuation compact.
5,cpk_rescont_scale102_anchor_wh03_01,anchor_common_size_trim,60/0/-60,410,340,340,127.5,66.3,67.5,81.6,147.9,112.5,65,110,120,cpk_resphase_anchor_wh03_h410_trim_m5_01,selected,Scale the trimmed APCD core back toward the high-quality weak-helper anchor to test phase motion without changing rotations.
6,cpk_rescont_scale098_anchor_wh03_01,anchor_common_size_trim,60/0/-60,410,340,340,122.5,63.7,67.5,78.4,142.1,112.5,65,110,120,cpk_resphase_anchor_wh03_h410_trim_m5_01,not_selected,Small down-scale backup for the opposite resonance trend.
7,cpk_rescont_scale096_anchor_wh03_01,anchor_common_size_trim,60/0/-60,410,340,340,120,62.4,67.5,76.8,139.2,112.5,65,110,120,cpk_resphase_anchor_wh03_h410_trim_m5_01,not_selected,Moderate down-scale backup; held because it may deepen the -180 basin.
8,cpk_rescont_scale094_anchor_wh03_01,anchor_common_size_trim,60/0/-60,410,340,340,117.5,61.1,67.5,75.2,136.3,112.5,65,110,120,cpk_resphase_anchor_wh03_h410_trim_m5_01,not_selected,Strong down-scale backup; not selected in first compact run.
9,cpk_rescont_aniso_reduce5_anchor_wh03_01,anchor_anisotropy_trim,60/0/-60,410,340,340,120,70,67.5,85,140,112.5,65,110,120,cpk_resphase_anchor_wh03_h410_trim_m5_01,selected,Reduce anisotropy by trimming long axes -5 nm and short axes +5 nm to soften resonance while preserving APCD rotations.
10,cpk_rescont_aniso_increase5_anchor_wh03_01,anchor_anisotropy_trim,60/0/-60,410,340,340,130,60,67.5,75,150,112.5,65,110,120,cpk_resphase_anchor_wh03_h410_trim_m5_01,not_selected,Increase anisotropy backup for the opposite phase trend.
11,cpk_rescont_ultraweak_helper35x85_anchor_wh03_01,ultraweak_helper_phase_bias,60/0/-60,410,340,340,125,65,67.5,80,145,112.5,35,85,120,cpk_resphase_anchor_wh03_h410_trim_m5_01,selected,Keep the high-selectivity anchor core but reduce helper coupling to <=35x85 to test weak phase bias without leakage collapse.
