candidate_id,candidate_family,source_stage,target_bin_deg,anchor_candidate,design_strategy,design_rationale,risk_level,expected_phase_direction,p1_length_nm,p1_width_nm,p2_length_nm,p2_width_nm,p1_frac_x,p1_frac_y,p2_frac_x,p2_frac_y,internal_dx_nm,internal_dy_nm,p1_rotation_deg,p2_rotation_deg,period_x_nm,period_y_nm,height_nm,material,substrate,requires_geometry_validation,requires_fdtd,status,notes,helper_role,helper_length_nm,helper_width_nm,helper_frac_x,helper_frac_y,helper_x_nm,helper_y_nm,helper_rotation_deg
wh_zero_aux_phase_01,apcd_core_plus_weak_helper,09-P36/P38,0,ng_zero_rot_release_07,APCD core plus standalone weak auxiliary phase helper,Keep APCD core responsible for spin-selective conversion and add one weak helper pillar as an extra phase knob; helper is not another APCD dimer or half-dimer.,pilot_moderate_risk,test weak auxiliary phase knob for 0/-60 gap,116,62,78,152,0.75,0.75,0.25,0.25,-56,56,45,105,340,340,300,c-Si,Al2O3,true,true,not_evaluated,weak-helper mini-pool scaffold only before pilot selection,weak_auxiliary_phase_helper,42,28,0.5,0.5,0.0,0.0,0
wh_zero_aux_phase_02,apcd_core_plus_weak_helper,09-P36/P38,0,ng_zero_rot_release_07,APCD core plus standalone weak auxiliary phase helper,Keep APCD core responsible for spin-selective conversion and add one weak helper pillar as an extra phase knob; helper is not another APCD dimer or half-dimer.,pilot_moderate_risk,test weak auxiliary phase knob for 0/-60 gap,116,62,78,152,0.75,0.75,0.25,0.25,-56,56,45,105,340,340,300,c-Si,Al2O3,true,true,not_evaluated,weak-helper mini-pool scaffold only before pilot selection,weak_auxiliary_phase_helper,46,30,0.47,0.53,-10.20000000000001,10.20000000000001,20
wh_zero_aux_phase_03,apcd_core_plus_weak_helper,09-P36/P38,0,ng_zero_rot_release_07,APCD core plus standalone weak auxiliary phase helper,Keep APCD core responsible for spin-selective conversion and add one weak helper pillar as an extra phase knob; helper is not another APCD dimer or half-dimer.,pilot_moderate_risk,test weak auxiliary phase knob for 0/-60 gap,116,62,78,152,0.75,0.75,0.25,0.25,-56,56,45,105,340,340,300,c-Si,Al2O3,true,true,not_evaluated,weak-helper mini-pool scaffold only before pilot selection,weak_auxiliary_phase_helper,50,32,0.53,0.47,10.20000000000001,-10.20000000000001,40
wh_zero_aux_phase_04,apcd_core_plus_weak_helper,09-P36/P38,0,ng_zero_rot_release_07,APCD core plus standalone weak auxiliary phase helper,Keep APCD core responsible for spin-selective conversion and add one weak helper pillar as an extra phase knob; helper is not another APCD dimer or half-dimer.,pilot_moderate_risk,test weak auxiliary phase knob for 0/-60 gap,116,62,78,152,0.75,0.75,0.25,0.25,-56,56,45,105,340,340,300,c-Si,Al2O3,true,true,not_evaluated,weak-helper mini-pool scaffold only before pilot selection,weak_auxiliary_phase_helper,54,34,0.5,0.44,0.0,-20.4,60
wh_zero_aux_phase_05,apcd_core_plus_weak_helper,09-P36/P38,0,ng_zero_rot_release_07,APCD core plus standalone weak auxiliary phase helper,Keep APCD core responsible for spin-selective conversion and add one weak helper pillar as an extra phase knob; helper is not another APCD dimer or half-dimer.,pilot_moderate_risk,test weak auxiliary phase knob for 0/-60 gap,116,62,78,152,0.75,0.75,0.25,0.25,-56,56,45,105,340,340,300,c-Si,Al2O3,true,true,not_evaluated,weak-helper mini-pool scaffold only before pilot selection,weak_auxiliary_phase_helper,58,36,0.44,0.5,-20.4,0.0,80
wh_neg60_aux_phase_01,apcd_core_plus_weak_helper,09-P36/P38,-60,ng_neg60_dxdy_release_08,APCD core plus standalone weak auxiliary phase helper,Keep APCD core responsible for spin-selective conversion and add one weak helper pillar as an extra phase knob; helper is not another APCD dimer or half-dimer.,pilot_moderate_risk,test weak auxiliary phase knob for 0/-60 gap,134,58,84,158,0.75,0.75,0.25,0.25,-58,-48,90,160,340,340,300,c-Si,Al2O3,true,true,not_evaluated,weak-helper mini-pool scaffold only before pilot selection,weak_auxiliary_phase_helper,42,28,0.5,0.5,0.0,0.0,15
wh_neg60_aux_phase_02,apcd_core_plus_weak_helper,09-P36/P38,-60,ng_neg60_dxdy_release_08,APCD core plus standalone weak auxiliary phase helper,Keep APCD core responsible for spin-selective conversion and add one weak helper pillar as an extra phase knob; helper is not another APCD dimer or half-dimer.,pilot_moderate_risk,test weak auxiliary phase knob for 0/-60 gap,134,58,84,158,0.75,0.75,0.25,0.25,-58,-48,90,160,340,340,300,c-Si,Al2O3,true,true,not_evaluated,weak-helper mini-pool scaffold only before pilot selection,weak_auxiliary_phase_helper,46,30,0.47,0.53,-10.20000000000001,10.20000000000001,35
wh_neg60_aux_phase_03,apcd_core_plus_weak_helper,09-P36/P38,-60,ng_neg60_dxdy_release_08,APCD core plus standalone weak auxiliary phase helper,Keep APCD core responsible for spin-selective conversion and add one weak helper pillar as an extra phase knob; helper is not another APCD dimer or half-dimer.,pilot_moderate_risk,test weak auxiliary phase knob for 0/-60 gap,134,58,84,158,0.75,0.75,0.25,0.25,-58,-48,90,160,340,340,300,c-Si,Al2O3,true,true,not_evaluated,weak-helper mini-pool scaffold only before pilot selection,weak_auxiliary_phase_helper,50,32,0.53,0.47,10.20000000000001,-10.20000000000001,55
wh_neg60_aux_phase_04,apcd_core_plus_weak_helper,09-P36/P38,-60,ng_neg60_dxdy_release_08,APCD core plus standalone weak auxiliary phase helper,Keep APCD core responsible for spin-selective conversion and add one weak helper pillar as an extra phase knob; helper is not another APCD dimer or half-dimer.,pilot_moderate_risk,test weak auxiliary phase knob for 0/-60 gap,134,58,84,158,0.75,0.75,0.25,0.25,-58,-48,90,160,340,340,300,c-Si,Al2O3,true,true,not_evaluated,weak-helper mini-pool scaffold only before pilot selection,weak_auxiliary_phase_helper,54,34,0.5,0.44,0.0,-20.4,75
wh_neg60_aux_phase_05,apcd_core_plus_weak_helper,09-P36/P38,-60,ng_neg60_dxdy_release_08,APCD core plus standalone weak auxiliary phase helper,Keep APCD core responsible for spin-selective conversion and add one weak helper pillar as an extra phase knob; helper is not another APCD dimer or half-dimer.,pilot_moderate_risk,test weak auxiliary phase knob for 0/-60 gap,134,58,84,158,0.75,0.75,0.25,0.25,-58,-48,90,160,340,340,300,c-Si,Al2O3,true,true,not_evaluated,weak-helper mini-pool scaffold only before pilot selection,weak_auxiliary_phase_helper,58,36,0.44,0.5,-20.4,0.0,95
