candidate_id,group,family,base_anchor,target_bin_deg,height_nm,period_x_nm,period_y_nm,p1_length_nm,p1_width_nm,p1_rotation_deg,p1_x_nm,p1_y_nm,p2_length_nm,p2_width_nm,p2_rotation_deg,p2_x_nm,p2_y_nm,helper_length_nm,helper_width_nm,helper_rotation_deg,helper_x_nm,helper_y_nm,geometry_changes,expected_mechanism,risk_level,status,config_path,notes
cpk_p196_zgap_dx_in_01,dimer_gap_coupling_offset,h320_zero_gap_coupling_offset,P190_-120_anchor,0,320,340,340,130,70,67.5,75,79,85,150,112.5,-75,-79,,,,,,"balanced x inward shift from safe h320 core: p1 x 79->75, p2 x -79->-75",change dimer coupling phase without common rotation,medium,not_evaluated,configs/apcd_k6_phase_state_candidates/cpk_p196_zgap_dx_in_01.yaml,P196 h320 zero-bin mechanism scout only; optical response unknown until real FDTD
cpk_p196_zgap_dx_out_02,dimer_gap_coupling_offset,h320_zero_gap_coupling_offset,strong_-180_anchor_family,0,320,340,340,130,70,67.5,83,79,85,150,112.5,-83,-79,,,,,,"balanced x outward shift from safe h320 core: p1 x 79->83, p2 x -79->-83",test opposite coupling sign while preserving p1/p2 rotations,medium,not_evaluated,configs/apcd_k6_phase_state_candidates/cpk_p196_zgap_dx_out_02.yaml,P196 h320 zero-bin mechanism scout only; optical response unknown until real FDTD
cpk_p196_zgap_dy_in_03,dimer_gap_coupling_offset,h320_zero_gap_coupling_offset,120_anchor_family,0,320,340,340,130,70,67.5,79,75,85,150,112.5,-79,-75,,,,,,"balanced y inward shift from safe h320 core: p1 y 79->75, p2 y -79->-75",change vertical coupling and retardance balance at fixed h320,medium,not_evaluated,configs/apcd_k6_phase_state_candidates/cpk_p196_zgap_dy_in_03.yaml,P196 h320 zero-bin mechanism scout only; optical response unknown until real FDTD
cpk_p196_zgap_shear_04,dimer_gap_coupling_offset,h320_zero_gap_coupling_offset,P195_C_dynamic_high_ratio_diagnostic,0,320,340,340,130,70,67.5,75,83,85,150,112.5,-83,-75,,,,,,"small shear offset around safe h320 core: p1 (-4,+4), p2 (-4,+4) in opposite quadrants",detune coupling asymmetrically without broad rotation recovery,medium_high,not_evaluated,configs/apcd_k6_phase_state_candidates/cpk_p196_zgap_shear_04.yaml,P196 h320 zero-bin mechanism scout only; optical response unknown until real FDTD
cpk_p196_znotch_p1r_05,mild_notch_slot_perturbation,h320_zero_mild_notch_slot,P190_-120_anchor,0,320,340,340,130,70,67.5,79,79,85,150,112.5,-79,-79,,,,,,p1 right-side 4 nm notch placeholder using supported notched_rectangle schema,local scalar phase trimming on p1 while keeping APCD dimer orientation,medium,not_evaluated,configs/apcd_k6_phase_state_candidates/cpk_p196_znotch_p1r_05.yaml,P196 h320 zero-bin mechanism scout only; optical response unknown until real FDTD
cpk_p196_znotch_p2l_06,mild_notch_slot_perturbation,h320_zero_mild_notch_slot,120_anchor_family,0,320,340,340,130,70,67.5,79,79,85,150,112.5,-79,-79,,,,,,p2 left-side 4 nm notch placeholder using supported notched_rectangle schema,rebalance p2 phase loading without using beta-selective baseline,medium,not_evaluated,configs/apcd_k6_phase_state_candidates/cpk_p196_znotch_p2l_06.yaml,P196 h320 zero-bin mechanism scout only; optical response unknown until real FDTD
cpk_p196_zslot_bal_07,mild_notch_slot_perturbation,h320_zero_mild_notch_slot,P195_C_dynamic_high_ratio_diagnostic,0,320,340,340,129,69,67.5,79,79,86,149,112.5,-79,-79,,,,,,balanced 1 nm p1/p2 compensation plus symmetric 3 nm notch placeholders,weak phase trim with compensated conversion channel,medium_high,not_evaluated,configs/apcd_k6_phase_state_candidates/cpk_p196_zslot_bal_07.yaml,P196 h320 zero-bin mechanism scout only; optical response unknown until real FDTD
cpk_p196_zhelper_sq_far_08,weak_scalar_helper,h320_zero_weak_scalar_helper,strong_-180_anchor_family,0,320,340,340,130,70,67.5,79,79,85,150,112.5,-79,-79,38,38,0,0,125,"add far weak square helper 38x38 nm at (0, 125)",standalone weak scalar phase loading away from the APCD core,medium,not_evaluated,configs/apcd_k6_phase_state_candidates/cpk_p196_zhelper_sq_far_08.yaml,P196 h320 zero-bin mechanism scout only; optical response unknown until real FDTD
cpk_p196_zhelper_diag_09,weak_scalar_helper,h320_zero_weak_scalar_helper,120_anchor_family,0,320,340,340,130,70,67.5,79,79,85,150,112.5,-79,-79,42,36,45,-118,0,"add diagonal weak helper 42x36 nm at (-118, 0)",weak detour phase perturbation with large core-helper gap,medium,not_evaluated,configs/apcd_k6_phase_state_candidates/cpk_p196_zhelper_diag_09.yaml,P196 h320 zero-bin mechanism scout only; optical response unknown until real FDTD
cpk_p196_zhelper_mid_10,weak_scalar_helper,h320_zero_weak_scalar_helper,P190_-120_anchor,0,320,340,340,130,70,67.5,79,79,85,150,112.5,-79,-79,34,44,0,118,0,"add weak scalar helper 34x44 nm at (118, 0)",test side-loaded scalar phase without adding a second APCD dimer,medium,not_evaluated,configs/apcd_k6_phase_state_candidates/cpk_p196_zhelper_mid_10.yaml,P196 h320 zero-bin mechanism scout only; optical response unknown until real FDTD
cpk_p196_zbal_geom_a_11,balanced_p1_p2_geometry_compensation,h320_zero_balanced_geometry_compensation,P190_-120_anchor,0,320,340,340,128,71,67.5,79,79,87,148,112.5,-79,-79,,,,,,p1 130x70->128x71 and p2 85x150->87x148,balanced aspect-ratio compensation to move phase while preserving selectivity,low_medium,not_evaluated,configs/apcd_k6_phase_state_candidates/cpk_p196_zbal_geom_a_11.yaml,P196 h320 zero-bin mechanism scout only; optical response unknown until real FDTD
cpk_p196_zbal_geom_b_12,balanced_p1_p2_geometry_compensation,h320_zero_balanced_geometry_compensation,P195_C_dynamic_high_ratio_diagnostic,0,320,340,340,132,69,67.5,79,79,83,152,112.5,-79,-79,,,,,,p1 130x70->132x69 and p2 85x150->83x152,opposite balanced compensation to probe zero-bin phase crossing,medium,not_evaluated,configs/apcd_k6_phase_state_candidates/cpk_p196_zbal_geom_b_12.yaml,P196 h320 zero-bin mechanism scout only; optical response unknown until real FDTD
